EAN,NAME,BRAND,SIZE,SPECIALITY,ANIMAL,FORMAT (kg),www.amazon.fr (FR),www.bitiba.es (ES),www.bitiba.fr (FR),www.centrodenutricioncanina.com (ES),www.croquetteland.com (FR),www.kiwoko.com (ES),www.medicanimal.com (ES),www.medicanimal.com (FR),www.medicanimal.com (UK),www.miscota.es (ES),www.miscota.fr (FR),www.telepienso.es (ES),www.tiendanimal.es (ES),www.tiendanimal.fr (FR),www.zooplus.es (ES),www.zooplus.fr (FR),www.wanimo.fr (FR),www.bypets.com (ES)
8410650166223,ADVANCE ADULT SALMON & RICE 15,Advance,,SALMON,CAT,15,http://www.amazon.fr/Advance-Croquettes-Chats-Saumon-Riz/dp/B007OUAZWM,,,,http://www.croquetteland.com/affinity-advance-chat-adulte-saumon-et-riz.html,http://www.kiwoko.com/affinity-advance-adult-salmon-y-arroz.html,,,,http://www.miscota.es/gatos/advance/adult-salmon-arroz,http://animaux.miscota.fr/chats/advance/adulte-saumon-et-riz,http://www.telepienso.com/products/advance-adult-gato-salmon-rice,http://www.tiendanimal.es/advance-feline-adult-salmon-arroz-p-151.html,http://www.tiendanimal.fr/advance-feline-adult-saumon-p-151.html,,,http://www.wanimo.com/fr/chats/alimentation-pour-chat-sc6/advance-chat-adult-saumon-amp-riz-kg-sf4983/,http://www.bypets.com/advance-cat-adult-salmon-arroz.html
8410650151656,ADVANCE ADULT SALMON & RICE 3,Advance,,SALMON,CAT,3,http://www.amazon.fr/Advance-Adult-Salmon-Croquettes-Saumon/dp/B00388RCK2,,,,http://www.croquetteland.com/affinity-advance-chat-adulte-saumon-et-riz.html,http://www.kiwoko.com/affinity-advance-adult-salmon-y-arroz.html,,,,http://www.miscota.es/gatos/advance/adult-salmon-arroz,http://animaux.miscota.fr/chats/advance/adulte-saumon-et-riz,http://www.telepienso.com/products/advance-adult-gato-salmon-rice,,,,,http://www.wanimo.com/fr/chats/alimentation-pour-chat-sc6/advance-chat-adult-saumon-amp-riz-kg-sf4983/,http://www.bypets.com/advance-cat-adult-salmon-arroz.html
8410650173535,ADVANCE ALL BREEDS ADULT LAMB & RICE 12,Advance,ESPE,CORDERO,DOG,12,http://www.amazon.fr/Advance-Adult-Agneau-Riz-12/dp/B00AA9VUQ4,http://www.bitiba.es/shop/perros/pienso_perros/affinity_advance/affinity_advance_adult_perros/374694,http://www.bitiba.fr/shop/chiens/croquettes/affinity_advance/341700,http://www.centrodenutricioncanina.com/perro/pienso/affinity-advance/cordero-arroz-adult,http://www.croquetteland.com/affinity-advance-chien-adult-agneau-riz.html,http://www.kiwoko.com/affinity-advance-labrador-p-8902.html,,,,,,,http://www.tiendanimal.es/advance-adult-cordero-arroz-p-145.html,http://www.tiendanimal.fr/advance-adult-agneau-p-145.html,,,http://www.wanimo.com/fr/chiens/alimentation-pour-chien-sc1/advance-chien-adult-agneau-riz-kg-sf5017/,http://www.bypets.com/advance-cat-adult-salmon-arroz.html
8410650200392,ADVANCE APPETTITE CONTROL (ES) 150GRX7 0.15,Advance,SNACKS,,SNACK,0.15,,,,http://www.centrodenutricioncanina.com/perro/pienso/affinity-advance/affinity-appetite-control-snacks-es,http://www.croquetteland.com/affinity-advance-appetite-control-snack.html,http://www.kiwoko.com/advance-appetite-control-snack-p-10068.html,,,,,,,,,,,,
8410650173214,ADVANCE BOXER 12,Advance,MAXI,BREED,DOG,12,http://www.amazon.fr/Affinity-AD961-Advance-Boxer-12/dp/B00AA9VOWE,,,http://www.centrodenutricioncanina.com/perro/pienso/affinity-advance/boxer-1,http://www.croquetteland.com/affinity-advance-chien-race-boxer.html,http://www.kiwoko.com/affinity-advance-boxer-p-10454.html,,,,http://www.miscota.es/perros/advance/boxer,http://animaux.miscota.fr/chiens/advance/boxer,http://www.telepienso.com/products/advance-boxer,http://www.tiendanimal.es/advance-boxer-p-7447.html,http://www.tiendanimal.fr/advance-boxer-p-7447.html,,,http://www.wanimo.com/fr/chiens/alimentation-pour-chien-sc1/advance-races-boxer-sac-de-kg-sf11825/,http://www.bypets.com/advance-boxer.html
8410650171562,ADVANCE BULLDOG 12,Advance,MEDIUM,BREED,DOG,12,http://www.amazon.fr/Affinity-AD957-Advance-Bouledogue-12/dp/B00AA9VMYY,,,http://www.centrodenutricioncanina.com/perro/pienso/affinity-advance/bulldog-adulto,http://www.croquetteland.com/affinity-advance-chien-race-bulldog.html,http://www.kiwoko.com/affinity-advance-bulldog-12kg-p-10455.html,,,,http://www.miscota.es/perros/advance/bulldog,http://animaux.miscota.fr/chiens/advance/advance-bulldog,http://www.telepienso.com/products/advance-bulldog-ingles,http://www.tiendanimal.es/advance-bulldog-p-7445.html,http://www.tiendanimal.fr/advance-bouledogue-p-7445.html,,,http://www.wanimo.com/fr/chiens/alimentation-pour-chien-sc1/advance-races-bulldog-sac-de-kg-sf9883/,http://www.bypets.com/advance-bulldog.html
8410650172873,ADVANCE DENTAL CARE STICK (ES) 180GRX13 0.18,Advance,SNACKS,,SNACK,0.18,http://www.amazon.fr/Advance-dental-care-stick-ref-500370/dp/B00HB2IFTS,,,http://www.centrodenutricioncanina.com/perro/pienso/affinity-advance/advance-dental-care,http://www.croquetteland.com/affinity-advance-chat-adulte-poulet-et-riz.html,http://www.kiwoko.com/advance-dental-care-stick-p-9522.html,,,,,,,,,,,http://www.wanimo.com/fr/chiens/friandise-amp-compla-ment-sc2/advance-chien-dental-care-stick-par--sf11805/,
8410650173269,ADVANCE FRENCH BULLDOG 3,Advance,MINI,BREED,DOG,3,http://www.amazon.fr/Advance-French-Bulldog-Croquettes-Canard/dp/B00AA9VOM4,,,http://www.centrodenutricioncanina.com/perro/pienso/affinity-advance/bulldog-frances,,http://www.kiwoko.com/affinity-advance-french-bulldog-p-9503.html,,,,http://www.miscota.es/perros/advance/bulldog-frances,http://animaux.miscota.fr/chiens/advance/bouledogue-francais,http://www.telepienso.com/products/advance-bulldog-frances,http://www.tiendanimal.es/advance-bulldog-frances-p-7446.html,http://www.tiendanimal.fr/advance-bulldog-francais-p-7446.html,,,http://www.wanimo.com/fr/chiens/alimentation-pour-chien-sc1/advance-races-bouledogue-frana-ais-sac-d-sf11823/,http://www.bypets.com/advance-bulldog-frances.html
8410650174105,ADVANCE FRENCH BULLDOG 9,Advance,MINI,BREED,DOG,9,http://www.amazon.fr/Advance-Bulldog-Fran%C3%A7ais-9-Kg/dp/B00AA9VR0S,,,http://www.centrodenutricioncanina.com/perro/pienso/affinity-advance/bulldog-frances,,http://www.kiwoko.com/affinity-advance-french-bulldog-p-9503.html,,,,http://www.miscota.es/perros/advance/bulldog-frances,http://animaux.miscota.fr/chiens/advance/bouledogue-francais,http://www.telepienso.com/products/advance-bulldog-frances,http://www.tiendanimal.es/advance-bulldog-frances-p-7446.html,http://www.tiendanimal.fr/advance-bulldog-francais-p-7446.html,,,,
8410650171579,ADVANCE GERMAN SHEPHERD 12,Advance,MAXI,BREED,DOG,12,http://www.amazon.fr/Advance-Croquettes-Chiens-Berger-Allemand/dp/B009EY0REM,,,http://www.centrodenutricioncanina.com/perro/pienso/affinity-advance/pastor-aleman-adulto,http://www.croquetteland.com/affinity-advance-chien-race-berger-allemand.html,http://www.kiwoko.com/affinity-advance-pastor-alemn-p-8903.html,,,,http://www.miscota.es/perros/advance/pastor-aleman,http://animaux.miscota.fr/chiens/advance/berger-allemand,http://www.telepienso.com/products/advance-pastor-aleman,http://www.tiendanimal.es/advance-pastor-aleman-p-144.html,http://www.tiendanimal.fr/advance-german-shepherd-p-144.html,,,http://www.wanimo.com/fr/chiens/alimentation-pour-chien-sc1/advance-races-german-shepherd-sac-de--sf9879/,http://www.bypets.com/advance-pastor-aleman.html
8410650152103,ADVANCE HAIRBALL TURKEY & RICE 1.5,Advance,,HB,CAT,1.5,http://www.amazon.fr/Advance-Hairball-Turkey-Croquettes-Dinde/dp/B00388RD3S,,,,,http://www.kiwoko.com/affinity-advance-hairball-pavo-y-arroz.html,,,,http://www.miscota.es/gatos/advance/hairball-pavo-arroz,http://animaux.miscota.fr/chats/advance/hairball-dinde-et-riz,http://www.telepienso.com/products/advance-hairball-turkey,http://www.tiendanimal.es/advance-hairball-p-154.html,http://www.tiendanimal.fr/advance-hairball-p-154.html,http://www.zooplus.es/shop/tienda_gatos/pienso_gatos/affinity_advance/278529,,http://www.wanimo.com/fr/chats/alimentation-pour-chat-sc6/advance-chat-hairball-kg-sf5023/,http://www.bypets.com/advance-cat-hairball-pavo-arroz.html
8410650151755,ADVANCE HAIRBALL TURKEY & RICE 3,Advance,,HB,CAT,3,http://www.amazon.fr/Advance-Hairball-Turkey-Croquettes-Dinde/dp/B007XPB856,,,,http://www.croquetteland.com/affinity-advance-chat-hairball.html,http://www.kiwoko.com/affinity-advance-hairball-pavo-y-arroz.html,,,,http://www.miscota.es/gatos/advance/hairball-pavo-arroz,http://animaux.miscota.fr/chats/advance/hairball-dinde-et-riz,,http://www.tiendanimal.es/advance-hairball-p-154.html,http://www.tiendanimal.fr/advance-hairball-p-154.html,http://www.zooplus.es/shop/tienda_gatos/pienso_gatos/affinity_advance/278529,,http://www.wanimo.com/fr/chats/alimentation-pour-chat-sc6/advance-chat-hairball-kg-sf5023/,http://www.bypets.com/advance-cat-hairball-pavo-arroz.html
8410650172910,ADVANCE HYPOALLERGENIC TREAT(ES)150GRX7 0.15,Advance,SNACKS,,SNACK,0.15,http://www.amazon.fr/Advance-dog-snack-hypoallergenic-ref-500372/dp/B00HB2IK02,,,http://www.centrodenutricioncanina.com/perro/pienso/affinity-advance/advance-hypoallergenic,http://www.croquetteland.com/affinity-advance-hypoallergenic-snack.html,http://www.kiwoko.com/advance-snack-hypoallergenic-p-9523.html,,,,http://www.miscota.es/perros/advance/hypoallergenic-treat,http://animaux.miscota.fr/chiens/advance/hypoallergenic-friandise,,,,,,http://www.wanimo.com/fr/chiens/friandise-amp-compla-ment-sc2/advance-chien-snack-hypoallergenic-sf11813/,
8410650172897,ADVANCE IMMUNITY TREAT (ES) 150GRX7 0.15,Advance,SNACKS,,SNACK,0.15,http://www.amazon.fr/Advance-dog-snack-immunity-ref-500371/dp/B00HB2IHO6,,,http://www.centrodenutricioncanina.com/perro/pienso/affinity-advance/advance-immunity,http://www.croquetteland.com/affinity-advance-immunity-snack.html,http://www.kiwoko.com/advance-snack-immunity-p-9524.html,,,,http://www.miscota.es/perros/advance/immunity-treat,http://animaux.miscota.fr/chiens/advance/inmunity-treat,,,,,,http://www.wanimo.com/fr/chiens/friandise-amp-compla-ment-sc2/advance-chien-snack-immunity-sf11811/,
8410650151892,ADVANCE KITTEN CHICKEN & RICE 1.5,Advance,,KITTEN,CAT,1.5,http://www.amazon.fr/Advance-Kitten-Chicken-Protect-Croquettes/dp/B00388MUI6,,,,,http://www.kiwoko.com/affinity-advance-kitten-pollo-y-arroz.html,,,,http://www.miscota.es/gatos/advance/kitten-pollo-arroz,http://animaux.miscota.fr/chats/advance/advance-kitten-poulet-et-riz,http://www.telepienso.com/products/advance-kitten,http://www.tiendanimal.es/advance-kitten-p-149.html,http://www.tiendanimal.fr/advance-kitten-p-149.html,http://www.zooplus.es/shop/tienda_gatos/pienso_gatos/affinity_advance/278422,http://www.zooplus.fr/shop/chats/croquettes_chat/affinity_advance_croquettes_chat/277978,http://www.wanimo.com/fr/chats/alimentation-pour-chat-sc6/advance-chat-kitten-x-kg-sf4979/,http://www.bypets.com/advance-cat-kitten-pollo-arroz.html
8410650166209,ADVANCE KITTEN CHICKEN & RICE 15,Advance,,KITTEN,CAT,15,http://www.amazon.fr/Advance-Croquettes-Chatons-Kitten-Poulet/dp/B009EY1N5Y,http://www.bitiba.es/shop/gatos/pienso/affinity_advance_pienso_gatos/advance_pienso_gatos/375086,,,,http://www.kiwoko.com/affinity-advance-kitten-pollo-y-arroz.html,,,,http://www.miscota.es/gatos/advance/kitten-pollo-arroz,http://animaux.miscota.fr/chats/advance/advance-kitten-poulet-et-riz,http://www.telepienso.com/products/advance-kitten,,,http://www.zooplus.es/shop/tienda_gatos/pienso_gatos/affinity_advance/278422,http://www.zooplus.fr/shop/chats/croquettes_chat/affinity_advance_croquettes_chat/277978,,http://www.bypets.com/advance-cat-kitten-pollo-arroz.html
8410650151540,ADVANCE KITTEN CHICKEN & RICE 3,Advance,,KITTEN,CAT,3,http://www.amazon.fr/Advance-Kitten-Chicken-Protect-Croquettes/dp/B007XPB7LG,http://www.bitiba.es/shop/gatos/pienso/affinity_advance_pienso_gatos/advance_pienso_gatos/375086,,,http://www.croquetteland.com/affinity-advance-chat-kitten-894.html,http://www.kiwoko.com/affinity-advance-kitten-pollo-y-arroz.html,,,,http://www.miscota.es/gatos/advance/kitten-pollo-arroz,http://animaux.miscota.fr/chats/advance/advance-kitten-poulet-et-riz,http://www.telepienso.com/products/advance-kitten,http://www.tiendanimal.es/advance-kitten-p-149.html,http://www.tiendanimal.fr/advance-kitten-p-149.html,http://www.zooplus.es/shop/tienda_gatos/pienso_gatos/affinity_advance/278422,http://www.zooplus.fr/shop/chats/croquettes_chat/affinity_advance_croquettes_chat/277978,http://www.wanimo.com/fr/chats/alimentation-pour-chat-sc6/advance-chat-kitten-x-kg-sf4979/,http://www.bypets.com/advance-cat-kitten-pollo-arroz.html
8410650152035,ADVANCE LIGHT CHICKEN & RICE 1.5,Advance,,LIGHT,CAT,1.5,http://www.amazon.fr/Advance-Light-Chicken-Croquettes-Poulet/dp/B00388MV0I,,,,,http://www.kiwoko.com/affinity-advance-light-pollo-y-arroz.html,,,,http://www.miscota.es/gatos/advance/adult-light-pollo-arroz,http://animaux.miscota.fr/chats/advance/ligth-rich-poulet-et-riz,http://www.telepienso.com/products/advance-light-gato,http://www.tiendanimal.es/advance-light-para-gatos-p-152.html,http://www.tiendanimal.fr/advance-light-pour-chats-p-152.html,http://www.zooplus.es/shop/tienda_gatos/pienso_gatos/affinity_advance/278423,http://www.zooplus.fr/shop/chats/croquettes_chat/affinity_advance_croquettes_chat/277981,,http://www.bypets.com/advance-cat-light-pollo-arroz.html
8410650151687,ADVANCE LIGHT CHICKEN & RICE 3,Advance,,LIGHT,CAT,3,http://www.amazon.fr/Advance-Light-Chicken-Croquettes-Poulet/dp/B007XPB81A,http://www.bitiba.es/shop/gatos/pienso/affinity_advance_pienso_gatos/advance_pienso_gatos/375087,http://www.bitiba.fr/shop/marques/affinity/croquettes_advance_chat/340313,,http://www.croquetteland.com/affinity-advance-chat-light-899.html,http://www.kiwoko.com/affinity-advance-light-pollo-y-arroz.html,,,,http://www.miscota.es/gatos/advance/adult-light-pollo-arroz,http://animaux.miscota.fr/chats/advance/ligth-rich-poulet-et-riz,http://www.telepienso.com/products/advance-light-gato,http://www.tiendanimal.es/advance-light-para-gatos-p-152.html,http://www.tiendanimal.fr/advance-light-pour-chats-p-152.html,http://www.zooplus.es/shop/tienda_gatos/pienso_gatos/affinity_advance/278423,http://www.zooplus.fr/shop/chats/croquettes_chat/affinity_advance_croquettes_chat/277981,http://www.wanimo.com/fr/chats/alimentation-pour-chat-sc6/advance-chat-light-x-kg-sf5019/,http://www.bypets.com/advance-cat-light-pollo-arroz.html
8410650172620,ADVANCE MAXI ADULT CHICKEN & RICE 14,Advance,MAXI,ADULT,DOG,14,http://www.amazon.fr/Advance-Maxi-Adult-14-Kg/dp/B00ENMFOSY,,,http://www.centrodenutricioncanina.com/perro/pienso/affinity-advance/maxi-adult,http://www.croquetteland.com/affinity-advance-chien-maxi-adult.html,http://www.kiwoko.com/affinity-advance-maxi-adult-pollo-arroz-14kg-p-8611.html,,,,http://www.miscota.es/perros/advance/maxi-adult-pollo-arroz,http://animaux.miscota.fr/chiens/advance/maxi-adult-poulet-et-riz,http://www.telepienso.com/products/advance-maxi-adult,http://www.tiendanimal.es/advance-maxi-adult-p-141.html,http://www.tiendanimal.fr/advance-maxi-adult-p-141.html,http://www.zooplus.es/shop/tienda_perros/pienso_perros/premium_advance/maxi/277035,http://www.zooplus.fr/shop/chiens/croquettes_chien/affinity_advance/maxi/276677,http://www.wanimo.com/fr/chiens/alimentation-pour-chien-sc1/advance-chien-maxi-adult-kg-sf5007/,http://www.bypets.com/advance-maxi-adult-pollo-arroz-14-kg.html
